,precision,recall,f1-score,support
458,1.0,1.0,1.0,5.0
459,1.0,1.0,1.0,38.0
460,1.0,1.0,1.0,33.0
461,1.0,1.0,1.0,57.0
462,1.0,1.0,1.0,26.0
463,1.0,1.0,1.0,112.0
464,1.0,1.0,1.0,175.0
465,1.0,1.0,1.0,302.0
466,1.0,1.0,1.0,16.0
467,1.0,1.0,1.0,51.0
468,1.0,1.0,1.0,140.0
469,1.0,1.0,1.0,125.0
470,1.0,1.0,1.0,123.0
471,1.0,1.0,1.0,94.0
472,1.0,0.9090909090909091,0.9523809523809523,11.0
473,1.0,1.0,1.0,91.0
474,0.9883720930232558,1.0,0.9941520467836257,85.0
475,1.0,1.0,1.0,248.0
476,1.0,1.0,1.0,41.0
477,1.0,1.0,1.0,46.0
478,1.0,1.0,1.0,110.0
479,1.0,1.0,1.0,74.0
480,1.0,1.0,1.0,72.0
481,1.0,1.0,1.0,60.0
482,1.0,1.0,1.0,16.0
483,1.0,1.0,1.0,85.0
484,1.0,1.0,1.0,113.0
485,1.0,1.0,1.0,155.0
486,1.0,1.0,1.0,14.0
487,1.0,1.0,1.0,13.0
488,1.0,1.0,1.0,252.0
489,1.0,1.0,1.0,38.0
490,1.0,1.0,1.0,20.0
491,1.0,1.0,1.0,8.0
492,1.0,1.0,1.0,3.0
493,1.0,1.0,1.0,10.0
accuracy,0.99906673680281,0.99906673680281,0.99906673680281,0.99906673680281
macro avg,0.9985560212821455,0.9982443779637511,0.9983899550553357,58933.0
weighted avg,0.9990732768685019,0.99906673680281,0.9990678327422301,58933.0
